Time(ms),Temperature(C),Pressure(Pa),ABS Altitude(m),Rel Altitude(m)
180,24.50,101348.00,-1.92,0.08
274,24.50,101349.00,-2.00,0.00
369,24.50,101348.00,-1.92,0.08
463,24.50,101345.00,-1.67,0.33
559,24.50,101343.00,-1.50,0.50
654,24.50,101352.00,-2.25,-0.25
749,24.50,101346.00,-1.75,0.25
843,24.50,101349.00,-2.00,0.00
937,24.50,101342.00,-1.42,0.58
1033,24.50,101349.00,-2.00,0.00
1128,24.50,101350.00,-2.08,-0.08
1224,24.50,101352.00,-2.25,-0.25
1319,24.50,101352.00,-2.25,-0.25
1416,24.50,101351.00,-2.17,-0.17
1511,24.50,101352.00,-2.25,-0.25
1606,24.50,101350.00,-2.08,-0.08
1702,24.50,101350.00,-2.08,-0.08
1798,24.50,101356.00,-2.58,-0.58
1893,24.50,101348.00,-1.92,0.08
1988,24.50,101350.00,-2.08,-0.08
2084,24.50,101350.00,-2.08,-0.08
2180,24.50,101350.00,-2.08,-0.08
2275,24.50,101350.00,-2.08,-0.08
2371,24.50,101355.00,-2.50,-0.50
2465,24.50,101349.00,-2.00,0.00
2561,24.50,101348.00,-1.92,0.08
2655,24.50,101347.00,-1.83,0.17
2750,24.50,101348.00,-1.92,0.08
2844,24.50,101343.00,-1.50,0.50
2938,24.50,101339.00,-1.17,0.83
3034,24.50,101346.00,-1.75,0.25
3129,24.50,101351.00,-2.17,-0.17
3225,24.50,101355.00,-2.50,-0.50
3320,24.50,101356.00,-2.58,-0.58
3416,24.50,101348.00,-1.92,0.08
3510,24.50,101348.00,-1.92,0.08
3604,24.50,101346.00,-1.75,0.25
3700,24.50,101351.00,-2.17,-0.17
3795,24.50,101355.00,-2.50,-0.50
3891,24.50,101346.00,-1.75,0.25
3986,24.50,101351.00,-2.17,-0.17
4081,24.50,101344.00,-1.58,0.41
4175,24.50,101345.00,-1.67,0.33
4270,24.50,101344.00,-1.58,0.41
4365,24.50,101347.00,-1.83,0.17
4459,24.50,101346.00,-1.75,0.25
4554,24.50,101342.00,-1.42,0.58
4649,24.50,101350.00,-2.08,-0.08
4746,24.50,101352.00,-2.25,-0.25
4841,24.50,101351.00,-2.17,-0.17
4935,24.50,101349.00,-2.00,0.00
5030,24.50,101346.00,-1.75,0.25
5125,24.50,101346.00,-1.75,0.25
5220,24.50,101348.00,-1.92,0.08
5314,24.50,101346.00,-1.75,0.25
5410,24.50,101351.00,-2.17,-0.17
5506,24.50,101351.00,-2.17,-0.17
5601,24.50,101356.00,-2.58,-0.58
5696,24.50,101349.00,-2.00,0.00
5791,24.50,101355.00,-2.50,-0.50
5888,24.50,101351.00,-2.17,-0.17
5982,24.60,101344.00,-1.58,0.41
6078,24.50,101351.00,-2.17,-0.17
6173,24.50,101352.00,-2.25,-0.25
6268,24.60,101352.00,-2.25,-0.25
6364,24.50,101344.00,-1.58,0.41
6459,24.60,101357.00,-2.66,-0.67
6555,24.50,101352.00,-2.25,-0.25
6650,24.50,101359.00,-2.83,-0.83
6747,24.50,101351.00,-2.17,-0.17
6842,24.60,101356.00,-2.58,-0.58
6938,24.60,101352.00,-2.25,-0.25
7033,24.60,101356.00,-2.58,-0.58
7129,24.60,101355.00,-2.50,-0.50
7224,24.60,101346.00,-1.75,0.25
7319,24.60,101352.00,-2.25,-0.25
7414,24.60,101348.00,-1.92,0.08
7510,24.60,101355.00,-2.50,-0.50
7605,24.60,101344.00,-1.58,0.41
7699,24.60,101345.00,-1.67,0.33
7793,24.60,101345.00,-1.67,0.33
7888,24.60,101347.00,-1.83,0.17
7983,24.60,101348.00,-1.92,0.08
8078,24.60,101343.00,-1.50,0.50
8175,24.60,101341.00,-1.33,0.66
8269,24.60,101347.00,-1.83,0.17
8368,24.60,101341.00,-1.33,0.66
8462,24.60,101345.00,-1.67,0.33
8560,24.60,101337.00,-1.00,1.00
8655,24.60,101341.00,-1.33,0.66
8753,24.60,101346.00,-1.75,0.25
8848,24.60,101342.00,-1.42,0.58
8945,24.60,101341.00,-1.33,0.66
9040,24.60,101347.00,-1.83,0.17
9143,24.60,101346.00,-1.75,0.25
9242,24.60,101347.00,-1.83,0.17
9336,24.60,101337.00,-1.00,1.00
9436,24.60,101346.00,-1.75,0.25
9531,24.60,101347.00,-1.83,0.17
9631,24.60,101355.00,-2.50,-0.50
9725,24.60,101349.00,-2.00,0.00
9825,24.60,101346.00,-1.75,0.25
9919,24.60,101345.00,-1.67,0.33
10018,24.60,101346.00,-1.75,0.25
10114,24.60,101344.00,-1.58,0.41
10213,24.60,101347.00,-1.83,0.17
10308,24.60,101338.00,-1.08,0.91
10407,24.60,101342.00,-1.42,0.58
10502,24.60,101345.00,-1.67,0.33
10597,24.70,101349.00,-2.00,0.00
10691,24.60,101343.00,-1.50,0.50
10789,24.60,101346.00,-1.75,0.25
10884,24.60,101343.00,-1.50,0.50
10983,24.60,101347.00,-1.83,0.17
11078,24.60,101348.00,-1.92,0.08
11177,24.60,101338.00,-1.08,0.91
11272,24.70,101343.00,-1.50,0.50
11370,24.60,101349.00,-2.00,0.00
11464,24.60,101346.00,-1.75,0.25
11566,24.60,101351.00,-2.17,-0.17
11661,24.60,101357.00,-2.66,-0.67
11757,24.60,101351.00,-2.17,-0.17
11852,24.60,101351.00,-2.17,-0.17
11951,24.60,101348.00,-1.92,0.08
12047,24.60,101357.00,-2.66,-0.67
12146,24.60,101349.00,-2.00,0.00
12246,24.70,101349.00,-2.00,0.00
12342,24.70,101357.00,-2.66,-0.67
12436,24.70,101346.00,-1.75,0.25
12531,24.60,101347.00,-1.83,0.17
12631,24.60,101348.00,-1.92,0.08
12725,24.60,101346.00,-1.75,0.25
12825,24.70,101349.00,-2.00,0.00
12919,24.70,101342.00,-1.42,0.58
13019,24.70,101341.00,-1.33,0.66
13114,24.70,101342.00,-1.42,0.58
13208,24.70,101348.00,-1.92,0.08
13303,24.70,101340.00,-1.25,0.75
13403,24.60,101345.00,-1.67,0.33
13497,24.70,101347.00,-1.83,0.17
13592,24.70,101347.00,-1.83,0.17
13686,24.70,101344.00,-1.58,0.41
13782,24.70,101348.00,-1.92,0.08
13876,24.70,101342.00,-1.42,0.58
13970,24.70,101346.00,-1.75,0.25
14065,24.70,101345.00,-1.67,0.33
14162,24.70,101348.00,-1.92,0.08
14258,24.70,101345.00,-1.67,0.33
14352,24.70,101345.00,-1.67,0.33
14446,24.70,101344.00,-1.58,0.41
14541,24.70,101349.00,-2.00,0.00
14636,24.70,101348.00,-1.92,0.08
14732,24.70,101352.00,-2.25,-0.25
14826,24.70,101346.00,-1.75,0.25
14920,24.70,101343.00,-1.50,0.50
15015,24.70,101348.00,-1.92,0.08
15115,24.70,101349.00,-2.00,0.00
15210,24.70,101342.00,-1.42,0.58
15309,24.70,101345.00,-1.67,0.33
15405,24.70,101344.00,-1.58,0.41
15499,24.70,101347.00,-1.83,0.17
15593,24.70,101349.00,-2.00,0.00
15688,24.70,101345.00,-1.67,0.33
15782,24.70,101343.00,-1.50,0.50
15878,24.70,101344.00,-1.58,0.41
15972,24.70,101342.00,-1.42,0.58
16066,24.70,101339.00,-1.17,0.83
16161,24.70,101338.00,-1.08,0.91
16256,24.70,101344.00,-1.58,0.41
16351,24.70,101344.00,-1.58,0.41
16445,24.70,101343.00,-1.50,0.50
16540,24.70,101343.00,-1.50,0.50
16634,24.70,101347.00,-1.83,0.17
16730,24.70,101355.00,-2.50,-0.50
16825,24.70,101342.00,-1.42,0.58
16919,24.70,101343.00,-1.50,0.50
17014,24.70,101339.00,-1.17,0.83
17108,24.70,101340.00,-1.25,0.75
17204,24.70,101342.00,-1.42,0.58
17298,24.70,101345.00,-1.67,0.33
17392,24.70,101348.00,-1.92,0.08
17487,24.70,101343.00,-1.50,0.50
17582,24.70,101342.00,-1.42,0.58
17677,24.70,101345.00,-1.67,0.33
17772,24.70,101350.00,-2.08,-0.08
17867,24.70,101347.00,-1.83,0.17
17961,24.70,101344.00,-1.58,0.41
18056,24.70,101346.00,-1.75,0.25
18151,24.70,101349.00,-2.00,0.00
18245,24.70,101344.00,-1.58,0.41
18340,24.70,101341.00,-1.33,0.66
18435,24.70,101341.00,-1.33,0.66
18529,24.70,101341.00,-1.33,0.66
18624,24.70,101346.00,-1.75,0.25
18719,24.70,101350.00,-2.08,-0.08
18816,24.70,101351.00,-2.17,-0.17
18911,24.70,101350.00,-2.08,-0.08
19006,24.70,101342.00,-1.42,0.58
19100,24.70,101343.00,-1.50,0.50
19194,24.70,101345.00,-1.67,0.33
19290,24.70,101343.00,-1.50,0.50
19385,24.70,101351.00,-2.17,-0.17
19480,24.70,101348.00,-1.92,0.08
19575,24.70,101351.00,-2.17,-0.17
19672,24.70,101351.00,-2.17,-0.17
19766,24.70,101345.00,-1.67,0.33
19860,24.70,101344.00,-1.58,0.41
19955,24.70,101346.00,-1.75,0.25
20049,24.70,101345.00,-1.67,0.33
20146,24.70,101350.00,-2.08,-0.08
20240,24.70,101345.00,-1.67,0.33
20335,24.70,101342.00,-1.42,0.58
20429,24.70,101348.00,-1.92,0.08
20525,24.70,101352.00,-2.25,-0.25
20620,24.70,101345.00,-1.67,0.33
20714,24.70,101335.00,-0.83,1.16
20809,24.70,101339.00,-1.17,0.83
20903,24.70,101336.00,-0.92,1.08
20999,24.70,101342.00,-1.42,0.58
21094,24.70,101350.00,-2.08,-0.08
21188,24.70,101346.00,-1.75,0.25
21283,24.70,101349.00,-2.00,0.00
21378,24.70,101340.00,-1.25,0.75
21473,24.70,101345.00,-1.67,0.33
21568,24.70,101352.00,-2.25,-0.25
21663,24.70,101346.00,-1.75,0.25
21757,24.70,101346.00,-1.75,0.25
21852,24.70,101349.00,-2.00,0.00
21947,24.70,101346.00,-1.75,0.25
22041,24.70,101341.00,-1.33,0.66
22136,24.70,101345.00,-1.67,0.33
22231,24.70,101343.00,-1.50,0.50
22326,24.70,101348.00,-1.92,0.08
22420,24.70,101344.00,-1.58,0.41
22514,24.70,101344.00,-1.58,0.41
22609,24.70,101341.00,-1.33,0.66
22704,24.70,101342.00,-1.42,0.58
22799,24.70,101345.00,-1.67,0.33
22893,24.70,101340.00,-1.25,0.75
22987,24.70,101346.00,-1.75,0.25
23083,24.70,101349.00,-2.00,0.00
23177,24.70,101343.00,-1.50,0.50
23272,24.70,101347.00,-1.83,0.17
23366,24.70,101343.00,-1.50,0.50
23461,24.70,101347.00,-1.83,0.17
23556,24.70,101341.00,-1.33,0.66
23650,24.70,101342.00,-1.42,0.58
23745,24.70,101345.00,-1.67,0.33
23839,24.70,101341.00,-1.33,0.66
23934,24.70,101344.00,-1.58,0.41
24029,24.70,101345.00,-1.67,0.33
24124,24.70,101346.00,-1.75,0.25
24218,24.70,101346.00,-1.75,0.25
24312,24.70,101347.00,-1.83,0.17
24408,24.70,101339.00,-1.17,0.83
24502,24.70,101347.00,-1.83,0.17
24597,24.70,101339.00,-1.17,0.83
24691,24.70,101340.00,-1.25,0.75
24785,24.70,101349.00,-2.00,0.00
24881,24.70,101344.00,-1.58,0.41
24975,24.70,101349.00,-2.00,0.00
25070,24.70,101343.00,-1.50,0.50
25164,24.70,101343.00,-1.50,0.50
25260,24.70,101346.00,-1.75,0.25
25354,24.70,101347.00,-1.83,0.17
25448,24.70,101348.00,-1.92,0.08
25543,24.70,101344.00,-1.58,0.41
25637,24.70,101342.00,-1.42,0.58
25733,24.70,101343.00,-1.50,0.50
25827,24.70,101342.00,-1.42,0.58
25922,24.80,101337.00,-1.00,1.00
26016,24.70,101342.00,-1.42,0.58
26110,24.70,101345.00,-1.67,0.33
26206,24.70,101344.00,-1.58,0.41
26300,24.80,101348.00,-1.92,0.08
26395,24.70,101345.00,-1.67,0.33
26489,24.70,101349.00,-2.00,0.00
26586,24.70,101355.00,-2.50,-0.50
26680,24.70,101338.00,-1.08,0.91
26774,24.70,101346.00,-1.75,0.25
26870,24.80,101351.00,-2.17,-0.17
26964,24.80,101349.00,-2.00,0.00
27061,24.80,101352.00,-2.25,-0.25
27155,24.80,101344.00,-1.58,0.41
27249,24.80,101349.00,-2.00,0.00
27344,24.80,101346.00,-1.75,0.25
27439,24.80,101335.00,-0.83,1.16
27534,24.80,101343.00,-1.50,0.50
27628,24.80,101344.00,-1.58,0.41
27723,24.70,101349.00,-2.00,0.00
27817,24.80,101348.00,-1.92,0.08
27912,24.80,101346.00,-1.75,0.25
28007,24.80,101343.00,-1.50,0.50
28101,24.80,101345.00,-1.67,0.33
28196,24.80,101345.00,-1.67,0.33
28291,24.80,101342.00,-1.42,0.58
28386,24.70,101348.00,-1.92,0.08
28481,24.80,101350.00,-2.08,-0.08
28575,24.80,101343.00,-1.50,0.50
28670,24.80,101347.00,-1.83,0.17
28765,24.80,101343.00,-1.50,0.50
28860,24.80,101346.00,-1.75,0.25
28955,24.70,101351.00,-2.17,-0.17
29051,24.80,101350.00,-2.08,-0.08
29146,24.80,101345.00,-1.67,0.33
29244,24.70,101343.00,-1.50,0.50
29344,24.80,101342.00,-1.42,0.58
29438,24.80,101342.00,-1.42,0.58
29538,24.80,101346.00,-1.75,0.25
29633,24.80,101349.00,-2.00,0.00
