Time(ms),Temperature(C),Pressure(Pa),ABS Altitude(m),Rel Altitude(m)
206,9.90,101687.00,-30.07,-0.08
302,9.90,101687.00,-30.07,-0.08
401,9.90,101682.00,-29.66,0.33
495,9.90,101678.00,-29.32,0.66
594,9.90,101679.00,-29.41,0.58
689,9.90,101682.00,-29.66,0.33
787,9.90,101680.00,-29.49,0.50
883,9.90,101688.00,-30.15,-0.17
984,10.00,101695.00,-30.73,-0.75
1080,9.90,101688.00,-30.15,-0.17
1180,10.00,101699.00,-31.07,-1.08
1277,10.00,101704.00,-31.48,-1.49
1378,10.00,101701.00,-31.23,-1.24
1475,10.00,101706.00,-31.65,-1.66
1581,10.00,101710.00,-31.98,-1.99
1682,10.00,101704.00,-31.48,-1.49
1778,10.00,101699.00,-31.07,-1.08
1881,10.00,101697.00,-30.90,-0.91
1976,9.90,101690.00,-30.32,-0.33
2077,9.90,101693.00,-30.57,-0.58
2172,9.90,101691.00,-30.40,-0.41
2274,9.90,101689.00,-30.24,-0.25
2369,9.90,101691.00,-30.40,-0.41
2469,9.90,101687.00,-30.07,-0.08
2565,9.90,101682.00,-29.66,0.33
2665,9.90,101689.00,-30.24,-0.25
2760,9.90,101687.00,-30.07,-0.08
2861,9.90,101684.00,-29.82,0.17
2956,9.90,101698.00,-30.98,-0.99
3053,10.00,101690.00,-30.32,-0.33
3149,10.00,101697.00,-30.90,-0.91
3250,10.00,101706.00,-31.65,-1.66
3347,10.00,101701.00,-31.23,-1.24
3447,10.00,101696.00,-30.82,-0.83
3544,10.00,101697.00,-30.90,-0.91
3641,10.00,101705.00,-31.56,-1.57
3737,10.00,101718.00,-32.64,-2.65
3834,10.00,101705.00,-31.56,-1.57
3931,10.00,101710.00,-31.98,-1.99
4028,10.00,101704.00,-31.48,-1.49
4124,10.00,101701.00,-31.23,-1.24
4225,10.00,101697.00,-30.90,-0.91
4322,10.00,101696.00,-30.82,-0.83
4426,10.00,101708.00,-31.81,-1.82
4524,10.00,101703.00,-31.40,-1.41
4620,10.00,101701.00,-31.23,-1.24
4722,10.00,101702.00,-31.31,-1.33
4819,10.00,101703.00,-31.40,-1.41
4916,10.00,101700.00,-31.15,-1.16
5012,10.00,101703.00,-31.40,-1.41
5109,10.00,101698.00,-30.98,-0.99
5206,10.00,101703.00,-31.40,-1.41
5303,10.00,101699.00,-31.07,-1.08
5399,10.00,101697.00,-30.90,-0.91
5500,10.00,101695.00,-30.73,-0.75
5596,10.00,101685.00,-29.91,0.08
5692,10.00,101679.00,-29.41,0.58
5787,10.00,101683.00,-29.74,0.25
5883,10.00,101682.00,-29.66,0.33
5979,10.00,101679.00,-29.41,0.58
6074,10.00,101673.00,-28.91,1.08
6170,10.00,101677.00,-29.24,0.75
6265,10.00,101680.00,-29.49,0.50
6362,10.00,101679.00,-29.41,0.58
6457,10.00,101678.00,-29.32,0.66
6553,10.00,101671.00,-28.74,1.24
6648,10.00,101675.00,-29.08,0.91
6745,10.00,101676.00,-29.16,0.83
6840,10.00,101671.00,-28.74,1.24
6935,10.00,101671.00,-28.74,1.24
7031,10.00,101669.00,-28.58,1.41
7127,10.00,101673.00,-28.91,1.08
7226,10.00,101675.00,-29.08,0.91
7321,10.00,101672.00,-28.83,1.16
7416,10.00,101671.00,-28.74,1.24
7513,10.00,101662.00,-28.00,1.99
7608,10.00,101660.00,-27.83,2.16
7704,10.00,101659.00,-27.75,2.24
7799,10.00,101663.00,-28.08,1.91
7896,10.00,101665.00,-28.25,1.74
7991,10.00,101669.00,-28.58,1.41
8086,10.00,101667.00,-28.41,1.57
8182,10.00,101658.00,-27.67,2.32
8278,10.00,101667.00,-28.41,1.57
8374,10.00,101664.00,-28.16,1.82
